group	journal	year	work_id	title	term_type	term	occurrences
Literary / critical	Modern Philology	2018	https://openalex.org/W2789448101	<i>Street Literature of the Long Nineteenth Century: Producers, Sellers, Consumers</i>. Edited by David Atkinson and Steve Roud. Newcastle-upon-Tyne: Cambridge Scholars Publishing, 2017. Pp. v+373.	review_only	database	1
Literary / critical	Modern Philology	2014	https://openalex.org/W3124168009	The<i>Poetics</i>from Athens to al-Andalus: Ibn Rushd’s Grounds for Comparison	review_only	database	1
Literary / critical	Modern Philology	2022	https://openalex.org/W4224443219	Intertextuality and Sociolectal Differentiation in Old Saxon and Old English Verse: A Stylometric Analysis Using N-grams	strong	stylometry	2
Literary / critical	Modern Philology	2013	https://openalex.org/W1587159902	<i>Alex Goody</i> Technology, Literature and Culture<i>Technology, Literature and Culture</i>. Alex Goody. Cambridge: Polity Press, 2011. Pp. viii+193.	review_only	electronic text	2
Literary / critical	Modern Philology	2010	https://openalex.org/W2073536672	<i>The Text in the Community: Essays on Medieval Works, Manuscripts, Authors, and Readers</i>. Edited by Jill Mann and Maura Nolan . Notre Dame, IN: University of Notre Dame Press, 2006. Pp.xv+296.	review_only	database	1
Literary / critical	Modern Philology	2014	https://openalex.org/W2172542464	<i>Julia V. Douthwaite</i> The Frankenstein of 1790 and Other Lost Chapters from Revolutionary France<i>The Frankenstein of 1790 and Other Lost Chapters from Revolutionary France</i>. Julia V. Douthwaite. Chicago: University of Chicago Press, 2012. Pp. vii+317.	review_only	digital archive	1
Literary / critical	Modern Philology	2015	https://openalex.org/W2263549035	<i>Frank Grady</i>and<i>Andrew Galloway</i>Answerable Style: The Idea of the Literary in Medieval England<i>Answerable Style: The Idea of the Literary in Medieval England</i>. Edited by Frank Grady and Andrew Galloway. Columbus: Ohio State University Press, 2013. Pp. vii+342.	review_only	database	1
Literary / critical	Modern Philology	2014	https://openalex.org/W2330143941	<i>Eric Hayot</i> On Literary Worlds<i>On Literary Worlds</i>. Eric Hayot. New York: Oxford University Press, 2012. Pp. x+202.	strong	digital humanities	1
Literary / critical	Modern Philology	2014	https://openalex.org/W2336150231	<i>Roland Greene</i> Five Words: Critical Semantics in the Age of Shakespeare and Cervantes<i>Five Words: Critical Semantics in the Age of Shakespeare and Cervantes</i>. Roland Greene. Chicago: University of Chicago Press, 2013. Pp. vii+210.	strong	digital humanities	1
Literary / critical	Modern Philology	2014	https://openalex.org/W2336150231	<i>Roland Greene</i> Five Words: Critical Semantics in the Age of Shakespeare and Cervantes<i>Five Words: Critical Semantics in the Age of Shakespeare and Cervantes</i>. Roland Greene. Chicago: University of Chicago Press, 2013. Pp. vii+210.	review_only	database	1
Literary / critical	Modern Philology	2013	https://openalex.org/W2342892941	<i>Guillaume Peureux, Hugh Roberts, and Lise Wajeman</i> Obscénités Renaissantes<i>Obscénités Renaissantes</i>. Guillaume Peureux, Hugh Roberts, and Lise Wajeman. Geneva: Librairie Droz, 2011. Pp. 493.	review_only	database	1
Literary / critical	Modern Philology	2016	https://openalex.org/W2514229535	<i>Thinking Sex with the Early Moderns</i>. Valerie Traub. Philadelphia: University of Pennsylvania Press, 2016. Pp. xiv+462. <i>Sexuality and Memory in Early Modern England: Literature and the Erotics of Recollection</i>. Edited by John S. Garrison and Kyle Pivetti. New York: Routledge, 2016. Pp. x+271.	review_only	database	1
Literary / critical	Modern Philology	2016	https://openalex.org/W2517435242	<i>Metaphors of Mind: An Eighteenth-Century Dictionary</i>. Brad Pasanek. Baltimore: Johns Hopkins University Press, 2015. Pp. vii+372.	strong	digital humanities	1
Literary / critical	Modern Philology	2016	https://openalex.org/W2517435242	<i>Metaphors of Mind: An Eighteenth-Century Dictionary</i>. Brad Pasanek. Baltimore: Johns Hopkins University Press, 2015. Pp. vii+372.	review_only	database	7
Literary / critical	Modern Philology	2018	https://openalex.org/W2794816264	<i>What the Victorians Made of Romanticism: Material Artifacts, Cultural Practices, and Reception History</i>. Tom Mole. Princeton, NJ: Princeton University Press, 2017. Pp. xiv+317.	review_only	database	1
Literary / critical	Modern Philology	2018	https://openalex.org/W2810285352	<i>Shakespeare in the Marketplace of Words</i>. Jonathan P. Lamb. Cambridge: Cambridge University Press, 2017. Pp. v+243.	strong	digital humanities	1
Literary / critical	Modern Philology	2019	https://openalex.org/W2941909507	<i>Enumerations: Data and Literary Study</i>. Andrew Piper. Chicago: University of Chicago Press, 2018. Pp. xiii+243.	strong	digital humanities	1
Literary / critical	Modern Philology	2019	https://openalex.org/W2944723969	<i>Cyberformalism: Histories of Linguistic Forms in the Digital Archive</i>. Daniel Shore. Baltimore: Johns Hopkins University Press, 2018. Pp. xxii+293.	review_only	digital archive	1
Literary / critical	Modern Philology	2019	https://openalex.org/W2969052069	<i>The Wreckage of Intentions: Projects in British Culture, 1660–1730</i>. David Alff. Philadelphia: University of Pennsylvania Press, 2017. Pp. 239.	strong	distant reading	1
Literary / critical	Modern Philology	2020	https://openalex.org/W3093663658	<i>Afterlives of Indigenous Archives: Essays in Honor of “The Occom Circle.”</i> Edited by Ivy Schweitzer and Gordon Henry. Hanover, NH: Dartmouth College Press, 2019. Pp. x+248.	review_only	digital archive	2
Literary / critical	Modern Philology	2020	https://openalex.org/W3097479060	<i>Early Shakespeare, 1588–1594</i>. Edited by Rory Loughnane and Andrew J. Power. Cambridge: Cambridge University Press, 2020. Pp. v+324.	review_only	database	2
Literary / critical	Modern Philology	2020	https://openalex.org/W3097604986	<i>1645–1714: The Later Seventeenth Century</i>. Volume 5 of <i>The Oxford English Literary History</i>. Margaret J. M. Ezell. Oxford: Oxford University Press, 2017. Pp. xxv+572.	review_only	database	2
Literary / critical	Modern Philology	2021	https://openalex.org/W3195387859	<i>Literary Manuscript Culture in Romantic Britain</i>. Michelle Levy. Edinburgh: Edinburgh University Press, 2020. Pp. viii+300.	strong	digital humanities	1
Literary / critical	Modern Philology	2021	https://openalex.org/W3216147104	<i>The Cambridge History of the English Novel</i>. Edited by Robert L. Caserio and Clement Hawes. Cambridge: Cambridge University Press, 2012. Paperback reissue, 2020. Pp. v+944.	strong	distant reading	1
Literary / critical	Modern Philology	2022	https://openalex.org/W4220721399	<i>Climate and the Making of Worlds: Toward a Geohistorical Poetics</i>. Tobias Menely. Chicago: University of Chicago Press, 2021. Pp. vii+269.	strong	distant reading	1
Literary / critical	Modern Philology	2015	https://openalex.org/W4231452927	<i>Old Books, New Technologies: The Representation, Conservation and Transformation of Books since 1700</i>. David McKitterick. Cambridge: Cambridge University Press, 2013. Pp. x+286.	strong	digital humanities	1
Literary / critical	Modern Philology	2015	https://openalex.org/W4231452927	<i>Old Books, New Technologies: The Representation, Conservation and Transformation of Books since 1700</i>. David McKitterick. Cambridge: Cambridge University Press, 2013. Pp. x+286.	review_only	digitization	3
Literary / critical	Modern Philology	2022	https://openalex.org/W4309329333	:<i>Middle English Medical Recipes and Literary Play, 1375–1500</i>	review_only	database	1
Literary / critical	Modern Philology	2022	https://openalex.org/W4310361221	:<i>Holy Digital Grail: A Medieval Book on the Internet</i>	review_only	digitization	2
Literary / critical	Modern Philology	2014	https://openalex.org/W460800148	<i>David Scott Wilson-Okamura</i> Spenser’s International Style<i>Spenser’s International Style</i>. David Scott Wilson-Okamura. Cambridge: Cambridge University Press, 2013. Pp. vii+235.	strong	digital humanities	1
Literary / critical	Modern Philology	2014	https://openalex.org/W460800148	<i>David Scott Wilson-Okamura</i> Spenser’s International Style<i>Spenser’s International Style</i>. David Scott Wilson-Okamura. Cambridge: Cambridge University Press, 2013. Pp. vii+235.	strong	stylometry	1
Specialist	Victorian Studies	2016	https://openalex.org/W2592921055	Present Tense Futures of the Past	strong	digital humanities	1
Specialist	Victorian Studies	2011	https://openalex.org/W2009272360	A Conversation with Data: Prospecting Victorian Words and Ideas	strong	distant reading	2
Specialist	Victorian Studies	2011	https://openalex.org/W2009272360	A Conversation with Data: Prospecting Victorian Words and Ideas	strong	text mining	2
Specialist	Victorian Studies	2011	https://openalex.org/W2017562899	Learning to Read Data: Bringing out the Humanistic in the Digital Humanities	strong	digital humanities	10
Specialist	Victorian Studies	2014	https://openalex.org/W2074877459	Toward a Computational Analysis of Victorian Poetics	review_only	digitization	1
Specialist	Victorian Studies	2013	https://openalex.org/W2061549488	The Ends of History: Introduction	strong	distant reading	1
Specialist	Victorian Studies	2016	https://openalex.org/W2465090958	Spectrally Illuminating the Hidden Material History of David Livingstone's 1870 Field Diary	strong	digital humanities	1
Specialist	Victorian Studies	2011	https://openalex.org/W2035974594	Introduction to “Learning to Read Data”	review_only	digital archive	1
Specialist	Victorian Studies	2011	https://openalex.org/W2058861342	Victorian Self-Projection and Critique: Response	review_only	database	1
Specialist	Victorian Studies	2014	https://openalex.org/W4256456893		strong	distant reading	2
Specialist	Victorian Studies	2022	https://openalex.org/W4365800696	Sara Ahmed’s Politics of Citation and Student Scholarship: Uncovering Indigenous Co-authors of British Folklore Collections	strong	digital humanities	1
