work_key	canonical	htid_count	pd_count	record_count	matched_oclc	oclc_tried	sample_htids
OL38590714W	0	0	0	0		1	
OL38591514W	0	3	0	1	2110050	1	mdp.39015001341307|inu.32000001884537|inu.30000007680782
OL38591589W	0	1	0	1	12041938	1	mdp.39015037844860
OL38592902W	0	5	5	1	4052737	2	uc1.$b83010|uc1.b4795103|inu.32000000132367
OL38593461W	0	1	1	1	2016480	1	mdp.39015003538918
OL38595131W	0	1	0	1	322277	1	uc1.$b636839
OL3859848W	0	3	0	1	1067412	2	mdp.39015069065368|mdp.39015050985244|mdp.39015035768459
OL3859853W	0	2	0	1	1061521	5	mdp.39015032099197|mdp.39015035770869
OL3859854W	0	1	0	1	12095238	10	uc1.$b600061
OL38602819W	0	0	0	0		1	
OL38604410W	0	1	1	1	24745353	3	nnc1.cu50263412
OL38606142W	0	0	0	0		2	
OL38608640W	0	1	0	1	1609686	1	uga1.32108005128668
OL38617W	0	0	0	0		2	
OL38619788W	0	0	0	0		1	
OL38630W	0	1	1	1	1000263	10	mdp.39015065980735
OL38633372W	0	0	0	0		1	
OL38634W	0	1	1	1	1000247	10	uva.x000098172
OL38637527W	0	3	0	1	1495773	4	osu.32435021400643|osu.32435021400635|osu.32435021400627
OL3863761W	0	0	0	0		1	
OL3863778W	0	2	2	1	365079	2	uc2.ark:/13960/t2x34pf7r|nyp.33433074858204
OL3863781W	0	1	1	1	19458208	7	wu.89017739210
OL3863910W	0	2	2	1	1197122	6	uc2.ark:/13960/t5gb2328q|hvd.hwj9ai
OL3863928W	0	1	1	1	14443389	4	uc2.ark:/13960/t3xs5q29r
OL3863944W	0	3	3	1	1191225	4	uc1.b3327640|mdp.39015063946639|uc2.ark:/13960/t3bz67t85
OL3863960W	0	5	5	1	272172	5	uc2.ark:/13960/t8w957k0k|mdp.39015063946498|nyp.33433075874804
OL3863975W	0	1	1	1	1197107	6	uc1.b3325725
OL3863978W	0	3	3	1	1191771	4	hvd.hwj9bc|uc1.b4104140|uc2.ark:/13960/t6930tw2t
OL3863979W	0	0	0	0		3	
OL38639809W	0	0	0	0		1	
OL3863980W	0	4	4	1	1196643	5	nyp.33433102565029|uc2.ark:/13960/t7kp7v91d|hvd.32044090340977
OL3863982W	0	3	3	1	34156996	4	hvd.hwk5us|uc1.$b684712|uiug.30112069651492
