work_key	edition_count	ocaid_count	ocaid_first
/works/OL17518W	137	5	whenworldshookbe00hagg
/works/OL1517945W	137	3	daffodilmurder0000edga
/works/OL14877871W	137	2	kentervilskoepri00wild
/works/OL13150029W	136	3	eyeofosiris00raus
/works/OL24219W	135	11	democracyameric00adam
/works/OL2254120W	135	14	storyofotherwise0000hvan
/works/OL37208W	134	8	autobiographyofe00johnrich
/works/OL1418248W	134	8	bwb_W9-CEX-856
/works/OL505944W	133	26	razorsedge00maug_1
/works/OL41290W	133	10	laregenta00alasgoog
/works/OL2848476W	133	0	
/works/OL3593545W	132	44	xiyouji0000wuch_p0z3
/works/OL22372W	132	25	wayofallflesh0000butl_i7w2
/works/OL137385W	132	4	longliveking00rineiala
/works/OL1622789W	131	12	nolimetangere0000riza
/works/OL39575W	131	5	yearswoolrich
/works/OL1833989W	131	34	phantomofopera0000lero_b5a4
