work_id	title	author_name_pop	first_publish_year	jstor_mention_count	via_creators	via_jtitle	last_name
/works/OL39567W	Between the Acts	Virginia Woolf	1941	30	2	28	woolf
/works/OL54158W	The Mysterious Stranger	Mark Twain	1916	30	0	30	twain
/works/OL2742623W	On writing	Anaïs Nin	1947	29	8	21	nin
/works/OL503589W	Niebla	Miguel de Unamuno	1914	29	4	25	unamuno
/works/OL25451751W	Confidence-Man	Herman Melville	1949	29	0	29	melville
/works/OL83250W	Dom Juan	Molière	1935	29	2	27	moli re
/works/OL17765177W	North and South	Gaskell, Elizabeth Cleghorn	1906	28	1	27	gaskell
/works/OL1159648W	The Golden Bough	Frazer, James George	1890	28	17	11	frazer
/works/OL41466319W	Eleanor	Humphry Ward	1901	28	17	11	ward
/works/OL684115W	Hyperion	Friedrich Hölderlin	1921	28	3	25	h lderlin
/works/OL7553856W	The Ethiopian	John Cameron Grant	1900	27	1	26	grant
/works/OL14867080W	Doctor Faustus	Thomas Mann	1947	27	7	20	mann
/works/OL6356624W	Walter	Emma Leslie	1880	27	23	4	leslie
/works/OL7542168W	Transport	Isa Glenn	1929	26	26	0	glenn
/works/OL2645473W	Quicksand	Nella Larsen	1928	26	1	25	larsen
/works/OL82918W	Go Down, Moses	William Faulkner	1940	26	0	26	faulkner
/works/OL265787W	Ring Lardner	Lardner, Ring	1943	26	4	22	lardner
/works/OL88809W	A Passage to India	E. M. Forster	1924	26	4	22	forster
/works/OL43439705W	A tale of two cities	Charles Dickens	1896	25	0	25	dickens
/works/OL32095671W	Gain and loss	A. L. O. E.	1885	25	21	4	e
/works/OL1774373W	The landmark	James Lane Allen	1925	25	9	16	allen
/works/OL1142239W	Ezra Pound	T. S. Eliot	1917	25	5	20	eliot
/works/OL7012129W	Temper	Lawrence H. Conrad	1924	25	18	7	conrad
/works/OL14866824W	Der Zauberberg	Thomas Mann	1924	25	8	17	mann
/works/OL2907231W	Migrations	Evelyn Scott	1927	25	23	2	scott
/works/OL44277048W	Our mutual friend	Charles Dickens	1898	25	1	24	dickens
/works/OL32146740W	Summer	Edith Wharton	1917	23	6	17	wharton
/works/OL815451W	Fortunata y Jacinta	Benito Pérez Galdós	1887	23	2	21	gald s
/works/OL12798W	The Professor's House	Willa Cather	1925	23	2	21	cather
/works/OL652938W	L’Espoir	André Malraux	1937	23	0	23	malraux
/works/OL44245458W	The nigger of the Narcissus	Conrad, Joseph	1910	23	1	22	conrad
/works/OL118964W	L'Œuvre	Emile Zola	1886	23	2	21	zola
/works/OL275946W	Black Boy	Wright, Richard	1945	22	2	20	wright
/works/OL42516882W	Waverley	Scott, Walter	1912	22	4	18	scott
