work_id	htid_count	oclc_variants	title_htrc	date_htrc	prob80_max	englishpct_max	htids
OL3928052W	1	1	Gunsight Pass	1921	0.89	1.0	uc2.ark+=13960=t9571bp2p
OL3928057W	3	2	The big-town round-up	1920	0.89	1.0	nyp.33433076059611|uc2.ark+=13960=t0pr7q57j|uc2.ark+=13960=t2r49hw0t
OL3928058W	2	1	A Texas ranger	1911	0.89	1.0	nyp.33433043461189|uc2.ark+=13960=t16m35k2x
OL3928059W	1	1	The Yukon trail;	1917	0.89	1.0	uc2.ark+=13960=t9v11x187
OL39280W	1	1	Further adventures of Lad	1922	0.88	1.0	nyp.33433075768923
OL3928269W	2	1	A gentle knight of old Brandenburg	1909	0.89	1.0	nyp.33433074902887|uc2.ark+=13960=t5gb2081s
OL3928277W	1	1	Uncle Tom Andy Bill;	1908	0.88	1.0	uc2.ark+=13960=t71v5fw12
OL3928278W	1	1	The touchstone of fortune;	1912	0.87	1.0	uc2.ark+=13960=t6pz53g2p
OL3928279W	3	1	A forest hearth;	1903	0.84	1.0	mdp.39015063943974|nyp.33433076024946|uc2.ark+=13960=t7fq9qt58
OL3928281W	1	1	The bears of Blue River	1908	0.83	0.999	uc2.ark+=13960=t5bc3tf7b
OL3928282W	3	1	Yolanda	1905	0.77	1.0	mdp.39015063943826|uc2.ark+=13960=t0qr4ns7z|wu.89004841938
OL3928283W	4	3	When knighthood was in flower;	1899	0.88	1.0	uva.x004198712|mdp.39015004288133|nyp.33433076051303|uc1.b3550216
OL39284W	2	1	Lad: a dog	1919	0.89	1.0	uc1.b4087201|uc2.ark+=13960=t54f1nc40
OL39286W	1	1	Bruce	1920	0.84	1.0	mdp.39015063963451
OL392951W	1	1	Jean-Christophe in Paris	1911	0.69	1.0	uc2.ark+=13960=t0tq5v092
OL3937648W	1	1	Dumb-bell of Brookfield	1917	0.86	1.0	uc2.ark+=13960=t3902181n
OL3937652W	2	1	Blister Jones	1913	0.8	1.0	nyp.33433076065618|uc2.ark+=13960=t9d50hw0k
OL39435435W	1	1	Dead man's gold	1920	0.88	0.999	nyp.33433074848155
OL39438557W	2	1	The Freres;	1882	0.9	1.0	mdp.39015063939394|nyp.33433074849294
OL39520W	1	1	Monday or Tuesday	1921	0.8	1.0	mdp.39015001800351
OL3956094W	1	1	Don Tarquinio	1905	0.85	0.999	uc2.ark+=13960=t7xk8992q
OL39571W	2	2	Night and day	1920	0.85	1.0	mdp.39015014365145|mdp.39015000610488
OL3967807W	2	1	Juniata memories;	1916	0.63	0.999	njp.32101072318254|uc2.ark+=13960=t0bv7mf1x
OL3967808W	1	1	North Mountain mementos;	1920	0.67	1.0	uc2.ark+=13960=t3028sh7z
