openlibrary_work_key	selection_title	selection_author	broad_other_total	broad_other_retained_n	sampling_mode	sample_related_n	related_rate	estimated_related_n	estimated_related_n_ci_low	estimated_related_n_ci_high	sample_primary_n	primary_rate	estimated_primary_n	estimated_primary_n_ci_low	estimated_primary_n_ci_high	sample_scholarly_n	scholarly_rate	estimated_scholarly_n	estimated_scholarly_n_ci_low	estimated_scholarly_n_ci_high	sample_pedagogical_n	pedagogical_rate	estimated_pedagogical_n	estimated_pedagogical_n_ci_low	estimated_pedagogical_n_ci_high	sample_adaptation_n	adaptation_rate	estimated_adaptation_n	estimated_adaptation_n_ci_low	estimated_adaptation_n_ci_high
/works/OL100237W	The Financier	Theodore Dreiser	28	28	all_retained	2	0.07142857142857142	2.0	2.0	2.0	2	0.07142857142857142	2.0	2.0	2.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL509919W	Parades End	Ford Maddox Ford	1	1	all_retained	1	1.0	1.0	1.0	1.0	1	1.0	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL115067W	King Coal	Upton Sinclair	3	3	all_retained	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL85892W	Dracula	Bram Stoker	414	100	sampled	64	0.64	264.96	224.53456614966018	301.0971475381861	5	0.05	20.700000000000003	8.919083169908335	46.264694262014515	10	0.1	41.400000000000006	22.86486274311949	72.18738386303417	1	0.01	4.14	0.7317168745542293	22.557285217984	48	0.48	198.72	159.24324427833488	238.80936805197274
/works/OL1154817W	The Crock of Gold	Stephens James	15	15	all_retained	3	0.2	3.0	3.0	3.0	3	0.2	3.0	3.0	3.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL1794919W	The Pit	Frank Norris	223	100	sampled	0	0.0	0.0	7.73686670285656e-16	8.249550100157807	0	0.0	0.0	7.73686670285656e-16	8.249550100157807	0	0.0	0.0	7.73686670285656e-16	8.249550100157807	0	0.0	0.0	7.73686670285656e-16	8.249550100157807	0	0.0	0.0	7.73686670285656e-16	8.249550100157807
/works/OL4971729W	Megda	Emma Kelley	0	0	none	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0	0		0.0	0.0	0.0
/works/OL44014215W	Strange Case of Dr Jekyll and Mr Hyde	Robert Louis Stevenson	16	16	all_retained	16	1.0	16.0	16.0	16.0	7	0.4375	7.0	7.0	7.0	1	0.0625	1.0	1.0	1.0	1	0.0625	1.0	1.0	1.0	7	0.4375	7.0	7.0	7.0
/works/OL19870W	The Jungle Book	Rudyard Kipling	105	100	sampled	93	0.93	97.65	90.56300952397284	101.39647758793637	16	0.16	16.8	10.60005291324502	25.641282858733756	0	0.0	0.0	3.642919299551295e-16	3.884317311733496	0	0.0	0.0	3.642919299551295e-16	3.884317311733496	77	0.77	80.85000000000001	71.23789782598253	88.36457082568137
/works/OL111382W	The Yearling	Marjorie Kinman Rawlings	11	11	all_retained	5	0.45454545454545453	5.0	5.0	5.0	3	0.2727272727272727	3.0	3.0	3.0	0	0.0	0.0	0.0	0.0	1	0.09090909090909091	1.0	1.0	1.0	1	0.09090909090909091	1.0	1.0	1.0
/works/OL88813W	A Room with a View	E. M. Forster	8	8	all_retained	6	0.75	6.0	6.0	6.0	5	0.625	5.0	5.0	5.0	0	0.0	0.0	0.0	0.0	1	0.125	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0
/works/OL63009W	For Whom the Bell Tolls	Ernest Hemingway	21	21	all_retained	14	0.6666666666666666	14.0	14.0	14.0	13	0.6190476190476191	13.0	13.0	13.0	1	0.047619047619047616	1.0	1.0	1.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
/works/OL2337481W	The Frontiersman	Mary Noailles Murfree	14	14	all_retained	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0
