work_id	oclc	htid	recordid	locnum	author	imprint	date	place	enumcron	subjects	title	prob80precise	genrepages	totalpages	englishpct	datetype	startdate	enddate	imprintdate
OL2895544W	1988608	uc1.b250124	6502424		Le Fanu, Joseph Sheridan,	London;Richard Bentley and Son;1880.	1880	enk	v. 1		The Purcell papers	0.87	247	280	1.0	s	1880.0	    	1880
OL2895544W	1988608	uc1.b250125	6502424		Le Fanu, Joseph Sheridan,	London;Richard Bentley and Son;1880.	1880	enk	v. 2		The Purcell papers	0.88	260	288	1.0	s	1880.0	    	1880
OL2895544W	1988608	uc1.b250126	6502424		Le Fanu, Joseph Sheridan,	London;Richard Bentley and Son;1880.	1880	enk	v. 3		The Purcell papers	0.89	289	302	0.998	s	1880.0	    	1880
OL2895544W	1988608	uiuo.ark+=13960=t2j681j7c	6502424		Le Fanu, Joseph Sheridan,	London;Richard Bentley and Son;1880.	1880	enk	v.2		The Purcell papers	0.87	256	286	1.0	s	1880.0	    	1880
OL2895544W	1988608	uiuo.ark+=13960=t44q8gh1d	6502424		Le Fanu, Joseph Sheridan,	London;Richard Bentley and Son;1880.	1880	enk	v.1		The Purcell papers	0.87	246	280	1.0	s	1880.0	    	1880
OL2899534W	11890941	uc2.ark+=13960=t36110241	6529541		Tozzi, Federigo,	London;Secker;1921.	1921	enk			Three crosses	0.82	166	184	1.0	s	1921.0	    	1921
OL2904831W	1164236	uc1.b3548177	6672560		Hinman, Wilbur F.	Cleveland, Ohio.;The N. G. Hamilton publishing co.;1900 [c1887.	1900	xx 		Civil War, 1861-1865;History;United States;Personal narratives;Fiction	"Corporal Si Klegg and his ""pard"""	0.76	561	732	1.0	s	1900.0	    	1900
OL2904831W	1164236	uc2.ark+=13960=t9f47sc4q	6672560		Hinman, Wilbur F.	Cleveland, Ohio.;The N. G. Hamilton publishing co.;1900 [c1887.	1900	xx 		Civil War, 1861-1865;History;United States;Personal narratives;Fiction	"Corporal Si Klegg and his ""pard"""	0.75	564	748	0.999	s	1900.0	    	1900
OL2904831W	734859	loc.ark+=13960=t5v69vz47	9610639	E607.H66	Hinman, Wilbur F.	Cleveland, O.;The N.G. Hamilton Publishing Co.;1898.	1898	ohu		Civil War, 1861-1865;History;United States;Personal narratives;Fiction	"Corporal Si Klegg and his ""pard"""	0.89	698	746	1.0	s	1898.0	    	1898
OL29115502W	2029746	mdp.39015032333562	672339		Saki,	London;John Lane;1914	1914	enk			Beasts and super-beasts	0.83	308	332	1.0	s	1914.0	    	1914
OL2920687W	7936646	nyp.33433074863360	8660114		Byrum, Isabel C.	Anderson, Ind.;Gospel Trumpet Co.;1916.	1916	inu		Fiction;Christian life;Christian literature for children;1886-1960;Fischer, Edwin	The pilot's voice	0.84	187	232	1.0	s	1916.0	    	1916
OL2921108W	12014222	nyp.33433081690798	6510738	PZ7.L142M	La Flesche, Francis,	Boston;Small, Maynard;1900.	1900	mau		Indians of North America	The middle five	0.88	242	260	1.0	s	1900.0	    	1900
OL2921108W	12014222	uc1.b263211	6510738	PZ7.L142M	La Flesche, Francis,	Boston;Small, Maynard;1900.	1900	mau		Indians of North America	The middle five	0.89	244	258	1.0	s	1900.0	    	1900
OL2921108W	12014222	uc2.ark+=13960=fk6930p907	6510738	PZ7.L142M	La Flesche, Francis,	Boston;Small, Maynard;1900.	1900	mau		Indians of North America	The middle five	0.89	241	258	1.0	s	1900.0	    	1900
OL29269201W	21497063	mdp.39015039356186	325712		Scott, Walter,	London;J. M. Dent & co.;New York;E. P. Dutton & co.;1909	1909	enk		History;Commonwealth and Protectorate, 1649-1660;Great Britain;Fiction	Woodstock;	0.73	374	519	1.0	r	1909.0	1906	1909
OL29309W	1192268	nyp.33433076049026	8679191	PS3531.H5G6 1903	Phillips, David Graham,	New York;McClure, Phillips & Co.;1903.	1903	nyu			Golden fleece	0.87	342	396	1.0	s	1903.0	    	1903
OL29311W	175233	uc1.$b358467	9478342		Phillips, David Graham,	New York;Harper;1902.	1902	xx 			Her Serene Highness;	0.81	195	220	0.999	 	1902.0	    	1902
OL29313W	1192516	mdp.39015059378169	320688	PZ3.P543Su	Phillips, David Graham,	New York [etc.;D. Appleton and company;1917.	1917	nyu	v.2		Susan Lenox	0.9	560	575	1.0	s	1917.0	    	1917
OL29313W	1192516	mdp.39015059378276	320688	PZ3.P543Su	Phillips, David Graham,	New York [etc.;D. Appleton and company;1917.	1917	nyu	v.1		Susan Lenox	0.89	505	531	1.0	s	1917.0	    	1917
OL29313W	187937540	nnc1.0022671838	8394421		Phillips, David Graham,	New York;Appleton;1920.	1920	nyu	v.2		Susan Lenox, her fall and rise	0.85	490	506	1.0	s	1920.0	    	1920
OL29313W	187937540	nnc1.0022671846	8394421		Phillips, David Graham,	New York;Appleton;1920.	1920	nyu	v.1		Susan Lenox, her fall and rise	0.84	474	502	1.0	s	1920.0	    	1920
OL29317W	1193261	mdp.39015063945987	320677	PZ3.P543Ge	Phillips, David Graham,	New York;London;D. Appleton and company;1912.	1912	nyu			George Helm	0.89	303	319	1.0	s	1912.0	    	1912
OL29317W	1193261	uc1.b4103062	320677	PZ3.P543Ge	Phillips, David Graham,	New York;London;D. Appleton and company;1912.	1912	nyu			George Helm	0.89	303	320	1.0	s	1912.0	    	1912
OL29317W	1193261	uc2.ark+=13960=t7cr5q25m	320677	PZ3.P543Ge	Phillips, David Graham,	New York;London;D. Appleton and company;1912.	1912	nyu			George Helm	0.89	303	320	1.0	s	1912.0	    	1912
OL29318W	6241727	uc2.ark+=13960=t5z60dt6j	7670224		Phillips, David Graham,	New York;Grosset & Dunlap;1909.	1909	nyu			The hungry heart	0.9	502	520	1.0	s	1909.0	    	1909
OL29318W	6464982	uc1.b3327560	7923311	PZ3.P543Hu3	Phillips, David Graham,	New York;London;D. Appleton and company;1911.	1911	nyu			The hungry heart	0.9	506	521	1.0	s	1911.0	    	1911
OL29318W	6464982	uc2.ark+=13960=t6542sx74	7923311	PZ3.P543Hu3	Phillips, David Graham,	New York;London;D. Appleton and company;1911.	1911	nyu			The hungry heart	0.9	508	524	1.0	s	1911.0	    	1911
OL29321W	1192288	nnc1.1002210371	8404911	PZ3.P543SoPS3531.H5	Phillips, David Graham,	Indianapolis;Bobbs-Merrill Co.;c1905.	1905	inu		Indiana;Fiction	The social secretary	0.66	110	232	0.999	s	1905.0	    	1905
OL29322W	3659166	wu.89099769580	9183664	PZ3.P543	Phillips, David Graham,	New York;D. Appleton;1910.	1910	nyu			The husband's story	0.89	461	488	1.0	s	1910.0	    	1910
OL29322W	3895759	uc1.$b358469	9478343		Phillips, David Graham,	New York;Grosset & Dunlap;1910.	1910	nyu			The husband's story	0.89	461	488	1.0	s	1910.0	    	1910
